Source,Author,Title,Description,URL,PublishedAt
Politico,Alice Miranda Ollstein,"Abortions, cancer in firefighters, and ‘super gonorrhea’: RFK Jr.’s cuts halt data collection - Politico",Fired workers and outside experts say the cuts leave the nation more vulnerable to health threats.,https://www.politico.com/news/2025/04/13/abortions-cancer-in-firefighters-and-super-gonorrhea-rfk-jr-s-cuts-halt-data-collection-00284828,2025-04-13T14:00:00Z
ABC News,ABC News,Commerce Secretary Lutnick says tariff exemptions for electronics are only temporary - ABC News,,https://abcnews.go.com/Politics/commerce-secretary-lutnick-tariff-exemptions-electronics-temporary/story?id\\u003d120752319,2025-04-13T13:41:15Z
Associated Press,"Laura Ungar, Michelle R. Smith, Devi Shastri",Measles exploded in Texas after stagnant vaccine funding. New cuts threaten the same across the US - AP News,The measles outbreak in West Texas didn’t happen just by chance. Health officials say the easily preventable disease has ripped through communities sprawling across more than 20 Texas counties in part because health departments were starved of the funding nee…,https://apnews.com/article/measles-texas-vaccines-funding-cuts-5785985d6b74024b0502f6a2fc1576e2,2025-04-13T13:27:00Z
Motorsport.com,Filip Cleeren,"Strategy Corner: How Norris, Verstappen can progress in Bahrain GP - Motorsport.com",A range of different strategy options are available for Formula 1 teams as they tackle the heat at the Bahrain Grand Prix,https://www.motorsport.com/f1/news/strategy-corner-norris-verstappen-progress-bahrain-gp/10712895/,2025-04-13T12:05:04Z
Bleacher Report,Erik Beaston,"NBA Playoffs 2025 Known Schedule, Bracket Picture Before Final Games of Season - Bleacher Report",,https://bleacherreport.com/articles/25183869-nba-playoffs-2025-known-schedule-bracket-picture-final-games-season,2025-04-13T11:13:26Z
Gizmodo.com,Isaac Schultz,Webb Telescope Reveals Astronomers Got It All Wrong About This Dying Planet - Gizmodo,New findings flip a previous theory of a planet's end on its head.,https://gizmodo.com/webb-telescope-reveals-astronomers-got-it-all-wrong-about-this-dying-planet-2000587646,2025-04-13T09:56:15Z
CNN,Rosa Rahimi,Russia strikes northeastern Ukrainian city of Sumy in deadliest attack this year - CNN,"Russian missiles hit the Ukrainian northeastern city of Sumy in the deadliest attack on civilians this year, killing at least 21 people as residents gathered for Sunday church services, local officials said.",https://www.cnn.com/2025/04/13/europe/russian-strike-sumy-ukraine-intl/index.html,2025-04-13T09:45:00Z
BBC News,Thomas Germain,Is it finally safe to ditch your phone case? I put it to the test - BBC,"With smartphones tougher than ever, a new wave of phone minimalists say cases are for cowards. I joined the case-free cult, called the experts and braced for the sound of broken glass.",https://www.bbc.com/future/article/20250410-why-your-phone-doesnt-need-a-case-anymore,2025-04-13T09:00:52Z
DW (English),Timothy Jones,US: Bernie Sanders rally draws record crowd in LA - DW,"A ""Fighting Oligarchy"" rally in Los Angeles has drawn a big crowd as opposition grows to Donald Trump's policies. Left-wing Senator Bernie Sanders and Democrat Alexandria Ocasio-Cortez have become vocal protest figures.",https://www.dw.com/en/us-bernie-sanders-rally-draws-record-crowd-in-la/a-72231033,2025-04-13T09:00:00Z
BBC News,,Sudan war: Dozens killed in attacks on famine-hit Darfur camps - BBC,"One person in Zamzam described things as ""extremely catastrophic"" after three days of assaults.",https://www.bbc.com/news/articles/cg41r3w0e19o,2025-04-13T08:37:26Z
Business Insider,Adam Rogers,Honk if you hate Elon: how protesters are jumping on Tesla's biggest weakness - Business Insider,Elon Musk built Tesla's showrooms in true-blue enclaves. Now he's paying the price.,https://www.businessinsider.com/tesla-showroom-design-architecture-marketing-perfect-targets-elon-musk-protests-2025-4,2025-04-13T08:23:00Z
Associated Press,,Volkanovski claims featherweight belt at UFC 314 with unanimous decision over Lopes - AP News,Title fights are nothing new to Alexander Volkanovski. His featherweight bout early Sunday morning against Diego Lopes was his 10th championship fight in a row. But Volkanovski had been in a slump in which he had lost three of his past four matches. He left l…,https://apnews.com/article/ufc-314-miami-volkanovski-lopes-67ae8c215f52eecb7176f8dc02747e92,2025-04-13T06:00:00Z
DW (English),Deutsche Welle,UK government to take emergency control of British Steel - DW,"The Chinese-owned steel company is the last maker of virgin steel from iron ore, coke and other inputs in the UK. The emergency bill passed the House of Commons and the House of Lords on Saturday.",https://www.dw.com/en/uk-government-to-take-emergency-control-of-british-steel/a-72228916,2025-04-13T03:37:20Z
Just Jared,,Timothee Chalamet & Kylie Jenner Hold Hands at Day 2 of Coachella 2025 - Just Jared,Click inside for more!,https://www.justjared.com/2025/04/12/timothee-chalamet-kylie-jenner-hold-hands-at-day-2-of-coachella-2025/,2025-04-13T03:11:50Z
Space.com,Josh Dinner,"SpaceX launches 21 Starlink satellites on Falcon 9 rocket, lands booster on ship at sea - Space.com",It was SpaceX's 41st Falcon 9 mission of the year.,https://www.space.com/space-exploration/launches-spacecraft/spacex-starlink-12-17-b1083-kennedy-space-center,2025-04-13T02:12:47Z
ABC News,ABC News,Tourist helicopter that crashed into the Hudson did not have a flight recorder: NTSB - ABC News,,https://abcnews.go.com/US/tourist-helicopter-crashed-hudson-flight-recorder-ntsb/story?id\\u003d120755978,2025-04-13T02:07:44Z
The Wall Street Journal,WSJ,Iran Seeks Sanctions Relief for Nuclear Limits in Talks With U.S. - WSJ,,https://www.wsj.com/world/middle-east/u-s-iran-begin-high-stakes-nuclear-talks-in-oman-fc07cdce,2025-04-13T01:49:00Z
